"Year","TCB_mean","TCB_median","TCB_sd","LME"
1971,504.352307120948,514.363037109375,116.422278106091,"14"
1972,513.686933367006,513.556640625,119.678043619379,"14"
1973,505.784970428749,508.962890625,115.900194484518,"14"
1974,509.146303787727,505.664123535156,113.266492334702,"14"
1975,499.066380256125,501.54638671875,111.830775821288,"14"
1976,500.519291610402,502.077911376953,113.889382595725,"14"
1977,501.710280130616,501.088317871094,116.7749360758,"14"
1978,513.163498310936,505.538452148438,113.081945803301,"14"
1979,509.67215087108,503.368438720703,113.660896506576,"14"
1980,512.617573256472,507.269897460938,117.711046801494,"14"
1981,503.115672144657,498.117248535156,113.383280822875,"14"
1982,503.138183213109,502.881530761719,108.172122344033,"14"
1983,509.45308774505,503.413818359375,111.295940958012,"14"
1984,505.081517963269,503.608459472656,113.632616454316,"14"
1985,511.380250748926,506.897552490234,117.141950715886,"14"
1986,498.550072105644,493.847534179688,114.881815130287,"14"
1987,504.495965511718,499.022827148438,118.154622428859,"14"
1988,509.953250091939,512.566772460938,108.448464260256,"14"
1989,497.52145893465,506.509582519531,106.943511774092,"14"
1990,506.464075131588,508.614929199219,110.267313866151,"14"
1991,502.556098242633,501.916412353516,114.13881924262,"14"
1992,504.047159095605,505.575012207031,111.240714705603,"14"
1993,506.041817110496,507.442047119141,116.561649589084,"14"
1994,504.949057248845,507.467224121094,109.384253195265,"14"
1995,505.63660698475,500.877868652344,111.627539479244,"14"
1996,499.795841284029,495.289276123047,106.10432862294,"14"
1997,504.945889008602,502.077667236328,115.190328486841,"14"
1998,506.683237648155,499.246368408203,116.792645586298,"14"
1999,504.763018095455,501.470977783203,114.696312700904,"14"
2000,500.188974558458,498.044189453125,111.017918349811,"14"
2001,508.072350676289,516.600219726562,109.529208589104,"14"
2002,514.12108130503,513.556640625,111.540525962331,"14"
2003,503.248380558528,497.638092041016,107.72550453197,"14"
2004,509.431261389048,501.759399414062,108.404725191554,"14"
2005,505.191079020591,506.897552490234,109.919551855334,"14"
2006,503.724569184944,502.263458251953,111.37034662445,"14"
2007,503.206899057932,496.862121582031,111.827161374175,"14"
2008,510.021664159685,515.965026855469,113.12591554312,"14"
2009,511.484048071818,511.295623779297,114.286624999137,"14"
2010,514.94691483407,511.578155517578,116.283380117632,"14"
2011,508.769120360702,515.364196777344,116.269797522671,"14"
2012,511.548753817092,507.829376220703,115.33617686389,"14"
2013,511.105234159473,511.295623779297,112.098704987052,"14"
2014,506.628324504141,503.334747314453,113.493118644504,"14"
1950,354.092701847804,384.007232666016,112.538632849523,"21"
1951,347.666392584245,356.998748779297,103.072475290917,"21"
1952,374.293230079319,385.655975341797,73.7091526856726,"21"
1953,324.431550685223,307.317260742188,80.5916478638481,"21"
1954,365.525490072197,376.272186279297,87.948206565191,"21"
1955,381.728079283146,388.329254150391,87.548509910933,"21"
1956,367.656296519916,353.650634765625,86.8141037568141,"21"
1957,341.552707633496,329.346832275391,79.4007663686524,"21"
1958,356.83460046548,351.116668701172,90.8362588605582,"21"
1959,354.945957589682,381.532836914062,111.767677166756,"21"
1960,395.239376036805,416.784515380859,95.5240537438021,"21"
1961,366.045246582349,371.947937011719,81.2306706898212,"21"
1962,349.038067116107,346.380035400391,87.826820158697,"21"
1963,325.02197004055,311.742523193359,87.5806814763424,"21"
1964,377.855706735362,376.009246826172,75.8530053865594,"21"
1965,356.729222761769,359.781707763672,104.865426647725,"21"
1966,356.493326939266,351.893524169922,81.1927632555806,"21"
1967,363.260092114526,381.232177734375,102.374416582435,"21"
1968,389.059690373799,409.453369140625,94.8146761788292,"21"
1969,362.352724079925,360.532897949219,77.077997812578,"21"
1970,358.205642134294,378.401977539062,106.553033388534,"21"
1971,312.755407949033,305.864685058594,87.1354523119003,"21"
1972,332.975697299874,321.514007568359,96.7147742779695,"21"
1973,373.01784209166,383.759246826172,70.9652028983696,"21"
1974,327.937006684322,313.914337158203,104.920674945383,"21"
1975,316.974463902395,302.178253173828,94.8813199235396,"21"
1976,382.109100787728,394.125183105469,92.6586198353735,"21"
1977,371.762626946455,368.619903564453,72.5505333010547,"21"
1978,343.188007901556,339.869720458984,83.4477737574634,"21"
1979,331.853931238025,324.194061279297,94.3560153617908,"21"
1980,302.8754519528,289.031402587891,105.81269821411,"21"
1981,332.557749647372,325.812713623047,107.129944756656,"21"
1982,342.144686977521,318.465515136719,97.3442683896472,"21"
1983,350.625770470844,347.336090087891,98.5468103883158,"21"
1984,377.666260436053,389.046447753906,92.2817643199214,"21"
1985,340.802736378599,339.673217773438,85.5752187621682,"21"
1986,361.914243734219,359.718811035156,78.4120729675947,"21"
1987,336.949246985817,326.104187011719,95.9620372632142,"21"
1988,333.777245413025,316.721588134766,83.2357342364268,"21"
1989,321.869820670799,313.695526123047,108.553183024138,"21"
1990,319.575498059381,311.420959472656,108.026187531126,"21"
1991,323.280254216081,323.035827636719,99.9340803080998,"21"
1992,344.018777082946,336.732482910156,85.9083814034194,"21"
1993,353.708112841544,346.38623046875,86.4902556100627,"21"
1994,325.67395004254,310.462554931641,68.9248768242871,"21"
1995,358.953566320958,362.489349365234,87.8972075529615,"21"
1996,376.91443699236,385.063262939453,85.3667600058542,"21"
1997,352.473138718563,342.687438964844,89.600868992355,"21"
1998,355.345815780639,351.064575195312,86.3608540913175,"21"
1999,334.912448013463,323.912933349609,88.4655445571764,"21"
2000,333.499946842177,327.455505371094,97.0768996389852,"21"
2001,353.610499613005,350.967895507812,88.0613754009443,"21"
2002,338.445024673254,321.601165771484,78.2879402284481,"21"
2003,330.427372163218,307.542724609375,78.4984584328226,"21"
2004,353.954326260435,344.957641601562,76.7506849939224,"21"
2005,343.903644107291,334.955688476562,76.9166412496793,"21"
2006,348.948364826817,335.441772460938,88.4768363104326,"21"
2007,368.977095463822,371.854034423828,73.4558672630496,"21"
2008,336.901726268437,319.972106933594,97.6692577035412,"21"
2009,330.997743202634,310.778472900391,92.2634262300529,"21"
2010,336.247354437055,345.403259277344,96.362681942068,"21"
2011,361.568032194753,360.529052734375,96.6646557064615,"21"
2012,320.965378321332,318.328125,78.6124038084979,"21"
