"Year","TCB_mean","TCB_median","TCB_sd","LME","LME_name"
1959,119.018740267965,121.696891784668,28.7516864228939,"21","Norwegian Shelf"
1960,114.196386467662,117.693832397461,31.5512047983745,"21","Norwegian Shelf"
1961,120.184878334775,124.161674499512,30.8530733803557,"21","Norwegian Shelf"
1962,116.711144026265,118.318008422852,29.4065717122604,"21","Norwegian Shelf"
1963,118.111395088636,122.802085876465,28.8026673125777,"21","Norwegian Shelf"
1964,114.536588118607,116.848777770996,30.6393212164076,"21","Norwegian Shelf"
1965,121.640631568513,122.820304870605,28.076484084853,"21","Norwegian Shelf"
1966,122.172508068221,123.918350219727,32.3042096158784,"21","Norwegian Shelf"
1967,121.171035166819,126.369972229004,28.4993887284833,"21","Norwegian Shelf"
1968,118.923789225773,121.183395385742,31.0074846039909,"21","Norwegian Shelf"
1969,111.971522968636,113.523506164551,31.507019303811,"21","Norwegian Shelf"
1970,110.310749962235,113.364372253418,28.5020981023246,"21","Norwegian Shelf"
1971,119.692218995638,125.683197021484,32.8305252451232,"21","Norwegian Shelf"
1972,106.839857342152,110.155746459961,29.2771797690969,"21","Norwegian Shelf"
1973,112.224710688051,116.321159362793,29.294714250641,"21","Norwegian Shelf"
1974,113.303372327386,116.099807739258,28.8240436997738,"21","Norwegian Shelf"
1975,115.258638235742,117.739051818848,30.75782766422,"21","Norwegian Shelf"
1976,110.667445314768,113.02173614502,29.3631705431803,"21","Norwegian Shelf"
1977,111.161266489393,114.147232055664,28.9739054713916,"21","Norwegian Shelf"
1978,117.64550420627,123.944526672363,27.8360995425502,"21","Norwegian Shelf"
1979,115.547488581805,120.476951599121,29.7918526213744,"21","Norwegian Shelf"
1980,113.787814763186,117.466819763184,29.9305457709043,"21","Norwegian Shelf"
1981,110.248883748878,111.871444702148,31.2255347738916,"21","Norwegian Shelf"
1982,109.032554335472,110.106018066406,29.8027757343627,"21","Norwegian Shelf"
1983,112.126155303004,115.381912231445,30.4160160054952,"21","Norwegian Shelf"
1984,113.358029521183,118.53246307373,30.8014277128817,"21","Norwegian Shelf"
1985,117.011337325711,119.03148651123,30.8608850092849,"21","Norwegian Shelf"
1986,115.630845124438,120.613548278809,29.8123580802606,"21","Norwegian Shelf"
1987,116.449717046518,119.261039733887,27.6140310191154,"21","Norwegian Shelf"
1988,113.50131124318,115.823844909668,32.7832582975957,"21","Norwegian Shelf"
1989,115.907621561947,119.117469787598,29.2639036505604,"21","Norwegian Shelf"
1990,111.771718011014,114.639289855957,28.6576944218178,"21","Norwegian Shelf"
1991,111.982515945206,117.484550476074,29.3193477985194,"21","Norwegian Shelf"
1992,113.421500576957,118.836082458496,29.2281062182837,"21","Norwegian Shelf"
1993,117.576990917,120.188621520996,28.2922943389266,"21","Norwegian Shelf"
1994,109.589199883445,112.481101989746,29.6457061659163,"21","Norwegian Shelf"
1995,118.951705408099,122.564308166504,28.890616706474,"21","Norwegian Shelf"
1996,111.669390165203,114.806022644043,28.129988473697,"21","Norwegian Shelf"
1997,122.847122060078,126.817863464355,33.6150307644386,"21","Norwegian Shelf"
1998,112.75364013045,116.052543640137,29.7763766018263,"21","Norwegian Shelf"
1999,119.294922133094,121.073432922363,29.1120149414157,"21","Norwegian Shelf"
2000,113.035766322924,115.525978088379,27.6766978197069,"21","Norwegian Shelf"
2001,114.188894050079,116.870475769043,29.516263531738,"21","Norwegian Shelf"
2002,111.912638520689,114.091766357422,29.5797544788241,"21","Norwegian Shelf"
2003,111.7536850122,114.629722595215,30.2809799563166,"21","Norwegian Shelf"
2004,118.436982318619,120.657127380371,28.7406749051615,"21","Norwegian Shelf"
2005,114.694675569943,116.460296630859,30.0641695140704,"21","Norwegian Shelf"
2006,113.723677474705,114.950378417969,27.9533821437992,"21","Norwegian Shelf"
2007,113.242973013944,112.948539733887,29.4028513926958,"21","Norwegian Shelf"
2008,115.18973788735,117.298820495605,30.6027711597945,"21","Norwegian Shelf"
2009,116.737466721928,116.584854125977,30.5843946497227,"21","Norwegian Shelf"
2010,117.276387043087,120.452835083008,33.4691428498741,"21","Norwegian Shelf"
2011,118.335231651817,119.348907470703,28.7820470920108,"21","Norwegian Shelf"
2012,114.34464556338,116.764343261719,30.085393966196,"21","Norwegian Shelf"
2013,112.343365867474,115.435974121094,28.3595753718344,"21","Norwegian Shelf"
2014,112.326629157375,113.470993041992,29.6125591975785,"21","Norwegian Shelf"
2015,134.914662514925,140.837265014648,37.4399598651176,"21","Norwegian Shelf"
1950,26.1277489057269,18.3130836486816,27.3990289474755,"28","Guinean Current"
1951,26.1932944727456,18.5765743255615,28.7169291469164,"28","Guinean Current"
1952,25.9524404143505,18.8670425415039,28.5706381291777,"28","Guinean Current"
1953,26.1365370245338,18.9495429992676,28.7021575844836,"28","Guinean Current"
1954,26.3037859697961,19.0303230285645,28.7506213598522,"28","Guinean Current"
1955,27.4695590770026,19.2937984466553,29.2675159755373,"28","Guinean Current"
1956,25.8422953256747,18.5233707427979,28.2261725501144,"28","Guinean Current"
1957,24.986190005749,17.9389095306396,27.3415106030506,"28","Guinean Current"
1958,26.3871443168785,18.9294033050537,28.514672834787,"28","Guinean Current"
1959,26.1085299233604,18.9510707855225,27.5659910043124,"28","Guinean Current"
1960,27.0227090598284,19.0102043151855,28.7148835279172,"28","Guinean Current"
1961,26.5940228691918,18.9275207519531,28.3258347045284,"28","Guinean Current"
1962,25.5291999277212,18.012035369873,27.7202225749864,"28","Guinean Current"
1963,25.557741336936,17.9695491790771,27.8644277066264,"28","Guinean Current"
1964,26.8450870615203,18.8602962493896,29.2542024215923,"28","Guinean Current"
1965,25.2054046108097,17.8868541717529,28.366357245479,"28","Guinean Current"
1966,25.7002452738349,18.2085742950439,28.5377610826938,"28","Guinean Current"
1967,26.7700858244067,19.473014831543,28.0991145188933,"28","Guinean Current"
1968,25.831140042151,18.2787418365479,28.478034095427,"28","Guinean Current"
1969,26.9701250581693,19.2471389770508,29.7505219443043,"28","Guinean Current"
1970,25.9325187567652,17.9562358856201,29.7836902219546,"28","Guinean Current"
1971,26.0334202521047,18.9541053771973,29.0137121242086,"28","Guinean Current"
1972,24.8238018436624,17.4914779663086,28.8304587915924,"28","Guinean Current"
1973,25.6249238846953,18.3228092193604,28.24908948397,"28","Guinean Current"
1974,24.8697072215796,17.9984092712402,27.118069395126,"28","Guinean Current"
1975,25.0300304243199,18.0892333984375,27.8315914354217,"28","Guinean Current"
