"","LME","LME_name","Year","TCB_mean","TCB_median","TCB_sd"
"26",10,"Insular Pacific-Hawaiian",1975,1.24300266369118,1.02515154088347,0.478893453070245
"27",10,"Insular Pacific-Hawaiian",1976,1.20415090079297,1.0448355733557,0.397148649332144
"28",10,"Insular Pacific-Hawaiian",1977,1.23496125380633,1.14372191716512,0.364227135835533
"29",10,"Insular Pacific-Hawaiian",1978,1.47331432487369,1.35304582496222,0.554642101886634
"30",10,"Insular Pacific-Hawaiian",1979,1.44601403622489,1.2018871853044,0.61860743534914
"31",10,"Insular Pacific-Hawaiian",1980,1.45532909786936,1.22431079101301,0.682080711832856
"32",10,"Insular Pacific-Hawaiian",1981,1.31040825874212,1.15941108063345,0.484036535882659
"33",10,"Insular Pacific-Hawaiian",1982,1.63557249673277,1.42579179242822,0.649658602502078
"34",10,"Insular Pacific-Hawaiian",1983,1.7469402711724,1.42042503925978,0.756531294930712
"35",10,"Insular Pacific-Hawaiian",1984,1.80116375027368,1.4526821915629,0.752899337495858
"36",10,"Insular Pacific-Hawaiian",1985,1.82827792181693,1.63042552477432,0.563981771187931
"37",10,"Insular Pacific-Hawaiian",1986,1.7723520396201,1.6425668156659,0.4299160547975
"38",10,"Insular Pacific-Hawaiian",1987,2.03666709753672,1.76847146504961,0.77393525204468
"39",10,"Insular Pacific-Hawaiian",1988,1.74957620734509,1.52994421379143,0.723729691270304
"40",10,"Insular Pacific-Hawaiian",1989,1.43329398213675,1.1648958368808,0.588739730185993
"41",10,"Insular Pacific-Hawaiian",1990,1.43542125688087,1.1188465558294,0.66293890676389
"42",10,"Insular Pacific-Hawaiian",1991,1.82172031886278,1.47379985149258,0.755941585230679
"43",10,"Insular Pacific-Hawaiian",1992,1.81630189739793,1.57889173828073,0.644720084460414
"44",10,"Insular Pacific-Hawaiian",1993,1.68365953362622,1.50366531995184,0.516919102289258
"45",10,"Insular Pacific-Hawaiian",1994,1.56604018365189,1.43285621970859,0.429022146091701
"46",10,"Insular Pacific-Hawaiian",1995,1.46367759564789,1.3130064354713,0.431444977656586
"47",10,"Insular Pacific-Hawaiian",1996,1.58649401250911,1.31353499939799,0.691694693677355
"48",10,"Insular Pacific-Hawaiian",1997,1.51705343009009,1.15569530423013,0.713362845472831
"49",10,"Insular Pacific-Hawaiian",1998,1.42124083977139,1.14382437738222,0.614961338536993
"50",10,"Insular Pacific-Hawaiian",1999,1.44961482138702,1.14765885482655,0.694758518437304
"51",10,"Insular Pacific-Hawaiian",2000,1.66098213398561,1.31147431953512,0.8103667367223
"52",10,"Insular Pacific-Hawaiian",2001,1.77573486075664,1.38952597348099,0.839865634623735
"53",10,"Insular Pacific-Hawaiian",2002,1.62765284827513,1.20120342873256,0.862198553304825
"54",10,"Insular Pacific-Hawaiian",2003,1.80605687526452,1.35470311363979,1.01194727359692
"55",10,"Insular Pacific-Hawaiian",2004,1.71261282471287,1.20211707463089,0.982088873714967
"56",10,"Insular Pacific-Hawaiian",2005,1.5907058703753,1.13587547958781,0.804187888554553
"57",10,"Insular Pacific-Hawaiian",2006,1.32075473104611,1.02900680991789,0.615901963295896
"58",10,"Insular Pacific-Hawaiian",2007,1.19247118033315,0.993149959031681,0.565814209269376
"59",10,"Insular Pacific-Hawaiian",2008,1.13731503288086,0.912678737925801,0.512063907848513
"60",10,"Insular Pacific-Hawaiian",2009,1.25209450264892,1.02597931632573,0.512674044369695
"61",10,"Insular Pacific-Hawaiian",2010,1.38896470791716,1.19240127694819,0.618419419435694
"62",10,"Insular Pacific-Hawaiian",2011,1.43197167995821,0.983750616782973,0.982074949806195
"63",10,"Insular Pacific-Hawaiian",2012,1.35655056439896,0.947048036797706,0.806662442034597
"64",10,"Insular Pacific-Hawaiian",2013,1.50298472728393,0.994138768701548,0.890335329781551
"65",10,"Insular Pacific-Hawaiian",2014,1.44902057507374,1.06417427237921,0.834505665244418
"66",28,"Guinea Current",1950,7.40500004649023,6.32289369198673,4.16714856493855
"67",28,"Guinea Current",1951,7.30834567028937,5.86864712680186,4.45194642378124
"68",28,"Guinea Current",1952,7.08810155351862,5.74227565467168,4.24365145499679
"69",28,"Guinea Current",1953,7.03848782392099,5.73153459646653,4.19654760939987
"70",28,"Guinea Current",1954,7.58759093338786,6.30310308194576,4.21575738496683
"71",28,"Guinea Current",1955,7.4981437068428,6.25496062244799,4.19466470807678
"72",28,"Guinea Current",1956,6.89661463662227,5.62578293276141,4.19809722193036
"73",28,"Guinea Current",1957,7.61560517679494,6.05302685983215,4.61650272121891
"74",28,"Guinea Current",1958,7.42308182188675,6.00801452942569,4.46809278470452
"75",28,"Guinea Current",1959,7.64661001985268,6.29314954291893,4.2795907998316
"76",28,"Guinea Current",1960,7.69580361632555,6.3852038770539,4.04959101518642
"77",28,"Guinea Current",1961,7.22063633417191,5.87763857737178,3.93114438040063
"78",28,"Guinea Current",1962,7.04398314930858,5.83723849372156,3.99401593559546
"79",28,"Guinea Current",1963,7.57036601284248,6.35673840597074,4.22214869300995
"80",28,"Guinea Current",1964,7.47670715768643,5.80279673250049,4.63250879242684
"81",28,"Guinea Current",1965,7.29447192247154,5.70248367829328,4.3409599866989
"82",28,"Guinea Current",1966,7.59806722625089,6.2636893882948,4.17553726868573
"83",28,"Guinea Current",1967,7.38604742476474,6.09989696973506,4.02348569716244
"84",28,"Guinea Current",1968,7.41371877808619,6.08092239654969,4.50735742902824
"85",28,"Guinea Current",1969,7.38849192834884,5.91549521032569,4.40814699712909
"86",28,"Guinea Current",1970,7.36589588311269,6.02820693133739,4.18002098064964
"87",28,"Guinea Current",1971,7.22435897164549,5.50944532035723,4.67987839652267
"88",28,"Guinea Current",1972,7.15204287813929,5.63554349210111,4.37248366660712
"89",28,"Guinea Current",1973,6.85074402454672,5.70848249312068,3.76798267026239
"90",28,"Guinea Current",1974,6.66513253395839,5.35636277660241,3.9204551162039
"91",28,"Guinea Current",1975,6.80880140631845,5.60806571714504,3.81310544838052
"92",28,"Guinea Current",1976,6.81541383248075,5.33489151459668,4.1013071145762
"93",28,"Guinea Current",1977,7.36620147495825,6.07452427302818,4.11387649834955
"94",28,"Guinea Current",1978,6.99329898624192,5.64530017883431,4.21053451877235
"95",28,"Guinea Current",1979,6.45444458902303,5.21129009937336,4.05094179603255
"96",28,"Guinea Current",1980,6.70017544394572,5.28462674406648,4.37583257648928
"97",28,"Guinea Current",1981,6.73652297213045,5.31153120621356,4.19798455194494
"98",28,"Guinea Current",1982,7.01945055991741,5.81964168680529,3.93552938245966
"99",28,"Guinea Current",1983,6.99915693937492,5.74156660179104,4.05899487201328
"100",28,"Guinea Current",1984,7.79502014196448,6.34766595102306,4.43110150121117
"101",28,"Guinea Current",1985,7.34399115331391,6.06874403609581,4.15137049447469
"102",28,"Guinea Current",1986,6.78540436655443,5.71518559163539,3.91799171769532
"103",28,"Guinea Current",1987,7.05093030406913,5.97201494907447,4.18051160620761
"104",28,"Guinea Current",1988,6.6355237183922,5.33640337059128,3.98833273566085
"105",28,"Guinea Current",1989,6.42367087627197,5.00240029569678,4.08319355790483
"106",28,"Guinea Current",1990,7.23891965543085,6.00419131902798,4.08050952512292
"107",28,"Guinea Current",1991,7.46297574090941,5.91115905145832,4.40508961545519
"108",28,"Guinea Current",1992,7.04843933192024,5.53397863056342,4.50293992997484
"109",28,"Guinea Current",1993,7.27406489863915,5.80562682639521,4.32175453617654
"110",28,"Guinea Current",1994,7.00491102856148,5.68162354306844,4.02985398098917
"111",28,"Guinea Current",1995,6.98502458650295,5.59017431353998,4.22607835386171
"112",28,"Guinea Current",1996,7.16862815677123,5.80509181915857,4.06686835245851
